Timestamp,Event,Side,Entry Price,Exit Price,Size,Leverage,PnL,PnL %,Duration (ms),Reason,Entry RSI V1,Entry RSI V2,Entry ADX,Entry ATR,Exit RSI V1,Exit RSI V2,Exit ADX,Exit ATR,Risk/Reward,Bar Close,Volume
"2025-11-27T06:37:30.267Z","ENTRY","long","1.0976","","10.0000","5","","","","v2-long","66.65","66.65","25.05","0.0006","","","","","2.00","1.0976","31627.30"
"2025-11-27T11:52:51.260Z","ENTRY","short","1.0787","","10.0000","5","","","","v2-short","32.06","32.06","25.65","0.0007","","","","","2.00","1.0787","147309.49"
